"NAME";"(O)NAME";"DATE_OF_BIRTH";"(O)DATE_OF_BIRTH";"PLACE_OF_BIRTH";"(O)PLACE_OF_BIRTH"
"Marco Belinelli";"Marco Belinelli";"1986-03-25";"1986-03-25";"San Giovanni in Persiceto";"italy"
"Marco Belinelli";"Marco Belinelli";"1986-03-25";"1986-03-25";"San Giovanni in Persiceto";"italy"
"Marco Belinelli";"Marco Belinelli";"1986-03-25";"1986-03-25";"San Giovanni in Persiceto";"italy"
"Kelly Olynyk";"Kelly Olynyk";"1991-04-19";"1991-04-19";"Toronto";"canada"
"Kelly Olynyk";"Kelly Olynyk";"1991-04-19";"1991-04-19";"Toronto";"canada"
"Kelly Olynyk";"Kelly Olynyk";"1991-04-19";"1991-04-19";"Toronto";"canada"
"Isaiah Thomas";"Isaiah Thomas";"1989-02-07";"1989-02-07";"Tacoma";"tacoma"
"Isaiah Thomas";"Isaiah Thomas";"1989-02-07";"1989-02-07";"Tacoma";"tacoma"
"Isaiah Thomas";"Isaiah Thomas";"1989-02-07";"1989-02-07";"Tacoma";"tacoma"
"Jordan Hill";"Jordan Hill";"1987-07-27";"1987-07-27";"Newberry";"newberry"
"Jordan Hill";"Jordan Hill";"1987-07-27";"1987-07-27";"Newberry";"newberry"
"Jordan Hill";"Jordan Hill";"1987-07-27";"1987-07-27";"Newberry";"newberry"
"David Lee";"David Lee";"1983-04-29";"1983-04-29";"St. Louis";
"David Lee";"David Lee";"1983-04-29";"1983-04-29";"St. Louis";
"David Lee";"David Lee";"1983-04-29";"1983-04-29";"St. Louis";
"Tyshawn Taylor";"Tyshawn Taylor";"1990-04-12";"1990-04-12";"Hoboken";"hoboken"
"Tyshawn Taylor";"Tyshawn Taylor";"1990-04-12";"1990-04-12";"Hoboken";"hoboken"
"Tyshawn Taylor";"Tyshawn Taylor";"1990-04-12";"1990-04-12";"Hoboken";"hoboken"
"Tyshawn Taylor";"Tyshawn Taylor";"1990-04-12";"1990-04-12";"Hoboken";"hoboken"
"Tornike Shengelia";"Tornike Shengelia";"1991-11-05";"1991-10-05";"Tbilisi";
"Tornike Shengelia";"Tornike Shengelia";"1991-11-05";"1991-10-05";"Tbilisi";
"Tornike Shengelia";"Tornike Shengelia";"1991-11-05";"1991-10-05";"Tbilisi";
"Tornike Shengelia";"Tornike Shengelia";"1991-11-05";"1991-10-05";"Tbilisi";
"Brandon Bass";"Brandon Bass";"1985-04-30";"1985-04-30";"Baton Rouge";"batonrouge"
"Brandon Bass";"Brandon Bass";"1985-04-30";"1985-04-30";"Baton Rouge";"batonrouge"
"Brandon Bass";"Brandon Bass";"1985-04-30";"1985-04-30";"Baton Rouge";"batonrouge"
"Vítor Faverani";"Vitor Faverani";"1988-05-05";"1988-05-05";"Porto Alegre";"brazil"
"Vítor Faverani";"Vitor Faverani";"1988-05-05";"1988-05-05";"Porto Alegre";"brazil"
"Paul Pierce";"Paul Pierce";"1977-10-13";"1977-10-13";"Oakland";"oakland"
"Paul Pierce";"Paul Pierce";"1977-10-13";"1977-10-13";"Oakland";"oakland"
"Paul Pierce";"Paul Pierce";"1977-10-13";"1977-10-13";"Oakland";"oakland"
"Mason Plumlee";"Mason Plumlee";"1990-03-05";"1990-03-05";"Fort Wayne";"fortwayne"
"Mason Plumlee";"Mason Plumlee";"1990-03-05";"1990-03-05";"Fort Wayne";"fortwayne"
"Mason Plumlee";"Mason Plumlee";"1990-03-05";"1990-03-05";"Fort Wayne";"fortwayne"
"Jeff Green";"Jeff Green";"1986-08-28";"1986-08-28";"Cheverly";"cheverly"
"Jeff Green";"Jeff Green";"1986-08-28";"1986-08-28";"Cheverly";"cheverly"
"Jeff Green";"Jeff Green";"1986-08-28";"1986-08-28";"Cheverly";"cheverly"
"Jared Sullinger";"Jared Sullinger";"1992-03-04";"1992-03-04";"Columbus";"columbus"
"Jared Sullinger";"Jared Sullinger";"1992-03-04";"1992-03-04";"Columbus";"columbus"
"Jared Sullinger";"Jared Sullinger";"1992-03-04";"1992-03-04";"Columbus";"columbus"
